Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
44500,1.4108267,None,0.051802777,None,None,1.0
45000,1.4108266,161.5,0.008916378,-1.0,-1.0,1.0
45500,1.4108266,93.0,0.29041082,-1.0,-1.0,1.0
46000,1.410834,163.16666666666666,-0.2499711,4.940000820159912,4.940000820159912,1.0
46500,1.4106385,539.5,0.044945434,-0.6,-0.6,1.0
47000,1.4106383,22.0,0.033311866,-0.6666666666666666,-0.6666666666666666,1.0
47500,1.4106383,298.0,0.40906048,-1.0,-1.0,1.0
48000,1.4106385,9.0,0.066904396,-1.0,-1.0,1.0
48500,1.4106385,80.0,0.24210523,-1.0,-1.0,1.0
49000,1.4106386,373.3333333333333,0.117106065,-1.0,-1.0,1.0
49500,1.4106386,689.0,0.1505748,44.200007528066635,44.200007528066635,1.0
50000,1.4106386,496.6666666666667,0.15925518,-0.5,-0.5,1.0
50500,1.4106386,66.5,0.13642146,-0.75,-0.75,1.0
51000,1.4111512,230.5,-0.035316583,-1.0,-1.0,1.0
51500,1.4136845,74.33333333333333,-0.20226434,-0.974999999627471,-0.974999999627471,1.0
52000,1.4136844,108.0,0.0012268426,0.5499999523162842,0.5499999523162842,1.0
52500,1.4136846,223.0,-0.04706517,-1.0,-1.0,1.0
53000,1.4136845,None,0.29368192,None,None,1.0
53500,1.4136845,94.25,-0.24960022,-0.574999988079071,-0.574999988079071,1.0
54000,1.4136846,310.0,-0.34004587,-0.974999999627471,-0.974999999627471,1.0
54500,1.4136845,153.0,-0.004393617,-0.5999999841054281,-0.5999999841054281,1.0
55000,1.4136845,63.0,-0.15668209,2.90000057220459,2.90000057220459,1.0
55500,1.4136846,112.0,0.1343331,-1.0,-1.0,1.0
56000,1.4146104,206.5,-0.14792337,-1.0,-1.0,1.0
56500,1.4152957,85.0,0.06609526,-1.0,-1.0,1.0
57000,1.4152957,108.0,-0.30548579,-1.0,-1.0,1.0
57500,1.4152957,72.0,0.02769885,-1.0,-1.0,1.0
58000,1.4152957,19.5,0.19802107,-1.0,-1.0,1.0
58500,1.4152957,173.0,0.2532418,-1.0,-1.0,1.0
59000,1.4152957,306.6666666666667,-0.22360936,-0.6499999761581421,-0.6499999761581421,1.0
59500,1.4152957,None,0.33110848,-1.0,-1.0,1.0
60000,1.4152961,99.0,0.34348172,-1.0,-1.0,1.0
60500,1.4152957,140.0,-0.0912686,-1.0,-1.0,1.0
61000,1.4148026,87.5,0.7633186,None,None,1.0
61500,1.4124252,184.66666666666666,-0.21357091,-1.0,-1.0,1.0
62000,1.4124253,999.0,0.5757875,-1.0,-1.0,1.0
62500,1.412425,94.0,0.2977177,1.100000023841858,1.100000023841858,1.0
63000,1.412425,123.33333333333333,0.2038114,-1.0,-1.0,1.0
63500,1.412425,37.0,-0.2528938,-1.0,-1.0,1.0
64000,1.412425,352.0,0.17072171,-1.0,-1.0,1.0
64500,1.412425,999.0,0.40292692,47.400006510317326,47.400006510317326,1.0
65000,1.412425,112.0,-0.16175878,-1.0,-1.0,1.0
65500,1.412425,60.5,0.14981055,-1.0,-1.0,1.0
66000,1.4127862,600.0,0.49715072,38.100005723536015,38.100005723536015,1.0
66500,1.4143034,None,-0.069683924,None,None,1.0
67000,1.4146003,140.0,0.07982917,-1.0,-1.0,1.0
67500,1.4146001,227.0,0.5973077,-1.0,-1.0,1.0
68000,1.4146003,None,0.23138277,None,None,1.0
68500,1.4146003,140.0,0.56383103,-1.0,-1.0,1.0
69000,1.4146004,None,0.5398319,None,None,1.0
69500,1.4146003,999.0,0.44529185,None,None,1.0
70000,1.4146001,316.0,0.2957181,54.40000772476196,54.40000772476196,1.0
70500,1.4146003,None,0.5857328,None,None,1.0
71000,1.4146003,273.6,-0.12047221,2.440000534057617,2.440000534057617,1.0
71500,1.4195127,246.33333333333334,0.12041291,-1.0,-1.0,1.0
72000,1.4221765,260.3333333333333,0.419897,-1.0,-1.0,1.0
72500,1.4221766,19.0,0.76466376,-1.0,-1.0,1.0
73000,1.4221765,None,0.07391791,None,None,1.0
73500,1.4221766,469.3333333333333,0.4989229,9.150001287460327,9.150001287460327,1.0
74000,1.4221766,441.0,0.105244845,-1.0,-1.0,1.0
74500,1.4221766,None,0.58292794,None,None,1.0
75000,1.4221765,999.0,0.5748901,0.0,0.0,1.0
