Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189385,9.695652173913043,0.10729145,-6.468523115365078,-6.468523115365078,1.0
1000,1.4189384,10.487179487179487,0.045565683,-9.572607110469388,-9.572607110469388,1.0
1500,1.4189383,8.341463414634147,0.22520296,-11.576945887055508,-11.576945887055508,1.0
2000,1.4189385,10.355555555555556,0.097672895,-12.276386701542398,-12.276386701542398,1.0
2500,1.4189384,11.63888888888889,0.22414175,-10.223605510261324,-10.223605510261324,1.0
3000,1.4189384,9.883720930232558,0.12823309,-7.924571633127264,-7.924571633127264,1.0
3500,1.4189385,11.022222222222222,0.24863036,-13.604846663095735,-13.604846663095735,1.0
4000,1.4189385,12.297297297297296,0.1396457,-10.870437346006694,-10.870437346006694,1.0
4500,1.4189385,16.694444444444443,0.14679746,-11.803104195329878,-11.803104195329878,1.0
5000,1.4189383,13.642857142857142,0.19726408,-14.534539121168631,-14.534539121168631,1.0
5500,1.4189384,10.256410256410257,0.15124878,-12.141610154509545,-12.141610154509545,1.0
6000,1.4189383,12.488372093023257,0.11649386,-13.264243491860324,-13.264243491860324,1.0
6500,1.4189383,10.21951219512195,0.22716917,-9.043490908650119,-9.043490908650119,1.0
7000,1.4189383,13.290322580645162,0.14975171,-15.156575155258178,-15.156575155258178,1.0
7500,1.4189385,9.391304347826088,0.11765865,-14.270485705517707,-14.270485705517707,1.0
8000,1.4189384,10.868421052631579,0.0951781,-9.680996965214208,-9.680996965214208,1.0
8500,1.4189384,15.411764705882353,0.17253701,-12.388275273144245,-12.388275273144245,1.0
9000,1.4189384,13.514285714285714,0.048648454,-12.044491224429187,-12.044491224429187,1.0
9500,1.4189385,16.058823529411764,0.13156828,-11.82954167618471,-11.82954167618471,1.0
10000,1.4189383,14.758620689655173,0.12592173,-13.485216377110318,-13.485216377110318,1.0
10500,1.418749,13.473684210526315,-0.12078683,-9.673548323501434,-9.673548323501434,1.0
11000,1.4177978,8.807692307692308,-0.41908124,-13.672106387229128,-13.672106387229128,1.0
11500,1.4177977,11.921052631578947,-0.3216345,-10.897843247419223,-10.897843247419223,1.0
12000,1.4177978,11.25,-0.38762748,-11.872464476629744,-11.872464476629744,1.0
12500,1.4177977,13.642857142857142,-0.37789893,-12.302807815869649,-12.302807815869649,1.0
13000,1.4177977,13.057142857142857,-0.53665364,-12.616600523392359,-12.616600523392359,1.0
13500,1.4177977,10.953488372093023,-0.5316147,-10.619000149327656,-10.619000149327656,1.0
14000,1.4177977,12.444444444444445,-0.25788966,-10.723276049750192,-10.723276049750192,1.0
14500,1.4177978,12.21951219512195,-0.4758041,-11.201735228799828,-11.201735228799828,1.0
15000,1.4177979,9.413793103448276,-0.46255493,-10.957161411643028,-10.957161411643028,1.0
15500,1.4177978,13.175,-0.60040224,-14.643069313122677,-14.643069313122677,1.0
16000,1.4177979,15.806451612903226,-0.46267414,-11.787979533595424,-11.787979533595424,1.0
16500,1.4177977,12.851063829787234,-0.43142766,-12.898681932169458,-12.898681932169458,1.0
17000,1.4177978,13.774193548387096,-0.32204872,-11.631760369328891,-11.631760369328891,1.0
17500,1.4177979,12.75,-0.6118451,-12.833715428624835,-12.833715428624835,1.0
18000,1.4177978,12.357142857142858,-0.38620332,-10.635071314705742,-10.635071314705742,1.0
18500,1.4177977,9.8,-0.5549505,-12.548526298999786,-12.548526298999786,1.0
19000,1.4177978,7.897435897435898,-0.42671815,-12.193086062989584,-12.193086062989584,1.0
19500,1.4177978,14.395348837209303,-0.4315156,-11.368126896924752,-11.368126896924752,1.0
20000,1.4177978,8.71111111111111,-0.38339415,-9.49576365429422,-9.49576365429422,1.0
20500,1.4176799,9.788461538461538,-0.6524211,-11.555142440293965,-11.555142440293965,1.0
21000,1.4163553,12.863636363636363,-1.0081106,-13.269900181714226,-13.269900181714226,1.0
21500,1.4163553,16.96153846153846,-0.8670625,-13.031891210325833,-13.031891210325833,1.0
