Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
39000,1.4158183,13.108108108108109,-1.513491,-3.5876371315680444,-3.5876371315680444,1.0
39500,1.4158185,19.25,-1.394079,-4.224442877479501,-4.224442877479501,1.0
40000,1.4158183,11.194444444444445,-1.5299842,-4.300668570730421,-4.300668570730421,1.0
40500,1.4158185,11.846153846153847,-1.4575279,-3.955198035240173,-3.955198035240173,1.0
41000,1.4158185,18.294117647058822,-1.4630073,-3.3361522126942873,-3.3361522126942873,1.0
41500,1.4152379,11.181818181818182,-2.172598,-3.6069459332976233,-3.6069459332976233,1.0
42000,1.4149805,10.818181818181818,-2.0949438,-3.962700872509568,-3.962700872509568,1.0
42500,1.4149806,17.884615384615383,-2.0382075,-3.192207413797195,-3.192207413797195,1.0
43000,1.4149804,16.333333333333332,-2.1995995,-4.301033797820932,-4.301033797820932,1.0
43500,1.4149808,14.7,-1.7126771,-3.908527339994907,-3.908527339994907,1.0
44000,1.4149806,19.448275862068964,-1.5440181,-3.552898181409671,-3.552898181409671,1.0
44500,1.4149805,14.212121212121213,-2.0019436,-3.6660459526447635,-3.6660459526447635,1.0
45000,1.4149804,12.181818181818182,-1.9380026,-4.172360390424728,-4.172360390424728,1.0
45500,1.4149806,15.033333333333333,-1.8660651,-3.7560840820272765,-3.7560840820272765,1.0
46000,1.4149808,14.233333333333333,-2.0342157,-3.6368284975660257,-3.6368284975660257,1.0
46500,1.4149804,14.466666666666667,-1.8985492,-3.905645589460619,-3.905645589460619,1.0
47000,1.4149808,16.585365853658537,-1.6920458,-3.606944035965858,-3.606944035965858,1.0
47500,1.4149808,19.5,-1.7102247,-3.688278780171746,-3.688278780171746,1.0
48000,1.4149804,17.03125,-1.8761821,-4.0350465750502,-4.0350465750502,1.0
48500,1.4149805,12.825,-2.0397806,-3.8159533722280727,-3.8159533722280727,1.0
49000,1.4149805,12.483870967741936,-1.817578,-4.007810907438397,-4.007810907438397,1.0
49500,1.4149805,19.28,-1.7024754,-3.3898428028821943,-3.3898428028821943,1.0
50000,1.4149808,10.979591836734693,-2.3075242,-4.247811735918124,-4.247811735918124,1.0
50500,1.4149808,11.878787878787879,-2.0839047,-3.7331915541606793,-3.7331915541606793,1.0
51000,1.4149805,17.24137931034483,-2.0277748,-3.534003186225891,-3.534003186225891,1.0
51500,1.4146245,13.371428571428572,-1.7669019,-4.171283143758774,-4.171283143758774,1.0
52000,1.4133434,12.657142857142857,-2.426299,-3.2308959845377476,-3.2308959845377476,1.0
52500,1.4133434,16.28,-1.8160064,-4.164089343868769,-4.164089343868769,1.0
53000,1.4133434,20.235294117647058,-1.4811803,-3.2689130157232285,-3.2689130157232285,1.0
53500,1.4133433,20.23076923076923,-2.2425022,-4.284396525758964,-4.284396525758964,1.0
54000,1.4133434,18.807692307692307,-1.8180665,-3.7454157907229204,-3.7454157907229204,1.0
54500,1.4133433,13.695652173913043,-2.0504446,-3.7846943969311924,-3.7846943969311924,1.0
55000,1.4133433,22.48148148148148,-1.8793805,-4.033476468037676,-4.033476468037676,1.0
55500,1.4133433,18.954545454545453,-2.1912124,-4.5530369404865345,-4.5530369404865345,1.0
56000,1.4133433,26.77777777777778,-1.8036376,-3.7614682275387974,-3.7614682275387974,1.0
56500,1.4133433,20.75,-1.5921402,-3.4851846093421472,-3.4851846093421472,1.0
57000,1.4133433,18.973684210526315,-1.7527823,-3.8372501162321946,-3.8372501162321946,1.0
57500,1.4133433,25.133333333333333,-1.7555821,-4.143381147583326,-4.143381147583326,1.0
58000,1.4133433,22.681818181818183,-1.7923923,-4.165432248264551,-4.165432248264551,1.0
58500,1.4133432,15.642857142857142,-2.0183861,-4.201650284230709,-4.201650284230709,1.0
59000,1.4133434,21.375,-1.9755213,-3.6862335465848446,-3.6862335465848446,1.0
59500,1.4133433,12.304347826086957,-2.5740697,-3.9401755979905526,-3.9401755979905526,1.0
60000,1.4133433,12.52,-1.9707918,-4.519825435243547,-4.519825435243547,1.0
60500,1.4133433,18.291666666666668,-1.9877026,-4.4673234431639965,-4.4673234431639965,1.0
61000,1.4133433,19.625,-2.0831966,-3.5612228915971866,-3.5612228915971866,1.0
61500,1.4133433,16.06896551724138,-2.0208564,-3.1398167812398503,-3.1398167812398503,1.0
62000,1.4119632,19.55,-2.059901,-3.644802749156952,-3.644802749156952,1.0
62500,1.4110546,18.433333333333334,-2.302695,-3.8885737021764117,-3.8885737021764117,1.0
63000,1.4110545,15.5,-2.254087,-3.475920052239389,-3.475920052239389,1.0
63500,1.4110545,20.666666666666668,-1.8001006,-3.5910271339118482,-3.5910271339118482,1.0
64000,1.4110545,15.666666666666666,-2.165257,-3.754326371683015,-3.754326371683015,1.0
64500,1.4110545,19.735294117647058,-2.2698681,-4.009413651400997,-4.009413651400997,1.0
65000,1.4110544,11.548387096774194,-2.3369806,-3.4086633920669556,-3.4086633920669556,1.0
65500,1.4110545,18.82758620689655,-2.0073338,-3.3870201751456728,-3.3870201751456728,1.0
66000,1.4110545,13.793103448275861,-2.2751756,-3.7231974906378213,-3.7231974906378213,1.0
66500,1.4110546,23.26086956521739,-2.228638,-4.1282007325263255,-4.1282007325263255,1.0
67000,1.4110546,19.37037037037037,-2.233348,-4.01268470287323,-4.01268470287323,1.0
67500,1.4110544,12.0,-1.8365333,-3.20902852501188,-3.20902852501188,1.0
