Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
18500,1.4169652,18.724137931034484,-0.16471435,-1.5205578716870929,-1.5205578716870929,1.0
19000,1.4169654,11.095238095238095,-0.4687456,-1.7674750121900948,-1.7674750121900948,1.0
19500,1.4169652,13.689655172413794,-0.42202547,-1.6951752893266179,-1.6951752893266179,1.0
20000,1.4169654,13.72972972972973,-0.40078682,-1.6814565465256974,-1.6814565465256974,1.0
20500,1.4169654,12.555555555555555,-0.51154053,-1.8841313240783555,-1.8841313240783555,1.0
21000,1.4149021,14.076923076923077,-0.7183161,-1.7822046843357384,-1.7822046843357384,1.0
21500,1.4138699,10.238095238095237,-0.77622294,-1.8651829880857191,-1.8651829880857191,1.0
22000,1.41387,20.17241379310345,-0.5316534,-1.791383185982704,-1.791383185982704,1.0
22500,1.41387,11.74468085106383,-0.778402,-1.7580583589151502,-1.7580583589151502,1.0
23000,1.41387,12.842105263157896,-0.5595999,-1.7194149569632151,-1.7194149569632151,1.0
23500,1.41387,8.96875,-0.6052427,-1.7973100804356914,-1.7973100804356914,1.0
24000,1.41387,13.264705882352942,-0.66107845,-1.7569308658263514,-1.7569308658263514,1.0
24500,1.41387,14.35135135135135,-0.6990404,-1.8838789705719268,-1.8838789705719268,1.0
25000,1.41387,11.837209302325581,-0.5952734,-1.8656568129292943,-1.8656568129292943,1.0
25500,1.41387,12.552631578947368,-0.643511,-1.852445369772613,-1.852445369772613,1.0
26000,1.41387,8.86046511627907,-0.60530156,-1.885569950868917,-1.885569950868917,1.0
26500,1.41387,14.379310344827585,-0.50154775,-1.565212337107494,-1.565212337107494,1.0
27000,1.41387,18.53846153846154,-0.53997463,-1.7211200182254498,-1.7211200182254498,1.0
27500,1.41387,12.743589743589743,-0.58879715,-1.8183420880844718,-1.8183420880844718,1.0
28000,1.41387,9.875,-0.76540804,-1.8832977220644147,-1.8832977220644147,1.0
28500,1.4138699,11.307692307692308,-0.71080697,-1.8470198948540397,-1.8470198948540397,1.0
29000,1.41387,10.821428571428571,-0.63502705,-1.77656229888089,-1.77656229888089,1.0
